domain,problem,runtime,size,status,jic-limit,trials,forgetpolicy,fullstate,planlocal,partial-planlocal,plan-with-policy,limit-planlocal,detect-deadends,generalize-deadends,online-deadends,optimized-scd,jic time,policy eval,policy creation,policy use,search time,engine time,regression time,simulator time,successful states,replans,actions,policy score,strongly cyclic,succeeded
blocksworld,p5.pddl,0.100000,12,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.080000,0.080000,0.000000,0.070000,0.000000,0.000000,0.000000,0.020000,16,0,16,1.000000,True,100
blocksworld,p5.pddl,0.050000,12,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.050000,0.050000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,16,0,16,1.000000,True,100
blocksworld,p5.pddl,0.070000,12,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.050000,0.050000,0.000000,0.010000,0.000000,0.000000,0.000000,0.010000,16,0,16,1.000000,True,100
blocksworld,p5.pddl,0.070000,12,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.060000,0.060000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,16,0,16,1.000000,True,100
blocksworld,p5.pddl,0.070000,12,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.050000,0.050000,0.010000,0.020000,0.000000,0.000000,0.000000,0.010000,16,0,16,1.000000,True,100
blocksworld,p5.pddl,0.070000,12,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.040000,0.000000,0.040000,0.000000,0.000000,0.000000,0.020000,16,0,16,1.000000,True,100
blocksworld,p5.pddl,0.070000,12,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.070000,0.060000,0.000000,0.040000,0.010000,0.000000,0.000000,0.000000,16,0,16,1.000000,True,100
blocksworld,p5.pddl,0.050000,12,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.050000,0.050000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,16,0,16,1.000000,True,100
blocksworld,p5.pddl,0.070000,12,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.050000,0.050000,0.000000,0.010000,0.000000,0.000000,0.000000,0.010000,16,0,16,1.000000,True,100
blocksworld,p6.pddl,0.050000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.010000,0.000000,0.000000,0.000000,0.010000,16,0,16,1.000000,True,100
blocksworld,p6.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,16,0,16,1.000000,True,100
blocksworld,p6.pddl,0.030000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,16,0,16,1.000000,True,100
blocksworld,p6.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.040000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,16,0,16,1.000000,True,100
blocksworld,p6.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.020000,0.000000,0.000000,0.000000,0.010000,16,0,16,1.000000,True,100
blocksworld,p6.pddl,0.060000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.030000,0.000000,0.000000,0.000000,0.020000,16,0,16,1.000000,True,100
blocksworld,p6.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,16,0,16,1.000000,True,100
blocksworld,p6.pddl,0.050000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,16,0,16,1.000000,True,100
blocksworld,p6.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,16,1.000000,True,100
